Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
TCS,532540,TCS,Computers - Software - Large,3359.9,1229404.67,32.09,26.34,87.67,72.3,0.09,64.86,9926,7.35,50591,15.76,50.46,54.87,27.67,38310.43,191754,9.4,10.2,15.02,6.84,7.83,10.29,13.94,37.19,39.99,43.64,2.63,14.12,21.99,28.37,16.8,164177,10.61,46546,38327,14.64,32196.12,37000,35764,-1788,102564,50.46,47.83
Tejas Networks,540595,TEJASNET,Telecommunications - Service Provider,452.65,6857.46,,28.31,-5.47,52.45,0.01,188.99,-49.62,-247.9,126.5,-37.24,-5.78,-7.34,-14.61,-62.71,550.59,-15.12,-8.84,-280.62,,,,2.85,-0.35,-7.01,-4.09,155.45,38.63,,-3.67,4.56,526.6,5.17,53.49,-62.71,10.58,-4.21,-134.67,75.14,-13.05,-151.66,-5.78,0.88
Themis Medicare,530199,THEMISMED,Pharmaceuticals - Indian - Bulk Drugs & Formln,775,713.02,9.78,23.78,38.85,67.17,0.28,93.01,9.95,23.6,79.8,29.19,22.09,30.94,24.23,72.88,394.61,29.02,12.74,107.05,102.69,35.49,42.16,15.55,13.97,21.25,28.81,4.65,43.01,7.81,18.24,71.07,230.67,10.05,49.49,72.88,9.6,26.5,15.08,38.99,15.68,48.63,22.09,15.87
Thirumalai Chem.,500412,TIRUMALCHM,Chemicals,251.6,2576.09,9.16,23.06,,41.98,0.15,28.53,90.06,6.37,582.83,50.7,22.16,35.4,22.06,281.23,1998.19,16.58,14.21,139.06,35.29,31.96,55.95,77.23,20.6,18.18,29.79,73.1,44.55,23.79,17.55,84.04,1085.74,9.34,220.69,281.23,6.62,141.05,328.71,159.79,24.25,526.68,22.16,26.39
Timken India,522113,TIMKEN,Bearings,2500.2,18806.19,57.49,15.05,,67.8,0.02,89.26,121.3,128.87,667.4,40.39,21,28.73,23.18,327.1,2203.2,9.81,15.85,128.34,30.07,27.48,22.11,15.68,15.69,16.21,21.8,82.6,54.98,29.35,16.03,56.2,1410.52,13.18,251.88,327.1,10.29,191.4,-47,111.2,-257.41,297.63,21,21.11
Titan Company,500114,TITAN,Diamond Cutting / Jewellery,2142.25,190185.99,85.98,22.02,,52.9,0.78,7.16,510,-3.16,7796,4.03,19.39,21.38,11.6,2211.93,28799,13.34,16.78,130.09,16.7,23.37,15.24,13.88,22.35,21.35,26.33,23.94,18.46,32.95,11.89,33.06,21644,13.44,1725,2173,12.53,1434.65,-940,4000,106,2367,19.39,21.17
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,2864.25,48468.84,44.7,23.78,,71.25,0.68,70.06,-118,-12.04,2131,10.02,17.19,19.01,28.57,1084.38,8508,3.5,7.91,-12.53,22.09,4.27,5.62,12.7,18.12,20.79,18.39,-0.54,22.88,19.01,7.98,6.29,8004.83,9.06,2485.68,777,12.2,911.7,1606,1676.67,-89.26,4272.75,17.19,15.54
Torrent Power,532779,TORNTPOWER,Power Generation And Supply,466,22396.74,25.14,37.31,,53.57,0.92,41.03,-488.04,69.92,3743.65,21.38,13.13,13.44,25.19,890.82,14257.61,2.73,7.44,-30.52,0.77,17.84,14.29,-3.35,12.27,12.8,8.85,0.29,23.49,20.25,3.71,17.13,12172.66,4.68,3477.27,453.97,6.07,1090.79,1407.48,1699.01,16.12,5369.67,13.13,12.92
Trent,500251,TRENT,Trading,1113.3,39576.42,987.68,278.5,,37.01,2,1.45,0.16,-219.67,1328.86,46.75,9.14,9.14,12.76,40.07,4498.02,19.58,19.94,127.05,-25.36,-13.2,4.96,11.18,1.79,-0.21,1.71,27.43,40.52,34.37,0.6,73.47,2592.96,10.16,113.87,105.83,9.32,35.41,-151.62,194.01,19.63,289.32,9.14,9.55
TTK Prestige,517506,TTKPRESTIG,Domestic Appliances,792.25,10981.7,36.02,50.18,17.08,70.41,0.05,44.2,80.02,4.79,697.5,16.63,21.72,24.44,15.64,304.84,2722.45,8.92,9.3,33.77,16.59,14.73,,,17.29,17.04,18.85,-10.94,3.94,7.24,13.69,24.49,2186.93,,321.93,304.84,,217.44,252.97,253.71,22.7,702.1,21.72,22.33
Tube Investments,540762,TIINDIA,Cycles And Accessories,1521.1,29355.03,38.85,38.85,39.85,46.46,0.28,52.03,178.8,18.47,3414.96,24.96,22.55,29.43,11.42,755.51,12525.3,29.46,22.83,166.26,47.17,37.12,,,19.84,21.96,28.82,13.6,56.72,,10.87,105.9,6083.29,,640.89,768.83,,348.42,640.39,125.22,491.2,1142.57,22.55,20.9
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,763.65,36281.01,48.02,38.23,,50.81,3.6,17.31,277.45,-12.19,6585.2,7.39,11.68,11.29,11.31,755.51,24355.31,6.5,14.34,25.51,2.31,8.13,14.75,19.08,20.8,18.42,18.37,19.98,17.23,6.69,3.1,25.41,19420.82,13.15,2232.04,756.82,12.6,676.49,-2531.04,226.66,532.42,-2921.83,11.68,13.2
Ujjivan Small,542904,UJJIVANSFB,Banks - Private Sector,16.2,2799.87,,18.12,,83.32,5.16,0,126.52,-7.3,818.24,32.43,5.77,2.5,6.24,-414.58,2812.81,15.37,66.95,-4742.55,,,,,1.24,-0.63,-13.06,-50.61,,,-2.03,0.24,2806.07,,853.69,-414.58,34.22,30.33,2495.6,2598.86,594.71,5247.24,5.77,6.3
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,734.4,56111.5,14.64,23.65,,28.45,1.17,99.39,1379,32.64,15861,23.95,13.65,16.74,20.61,3832.34,46240,28.41,23.17,27,28.58,16.65,18.89,21.18,16.46,15.51,18.35,-12.06,2.57,5.52,6.82,19.5,38694,21.12,8352,3626,19.68,2574.18,3931,5147,-1927,15882,13.65,13.78
V2 Retail,532867,V2RETAIL,Textiles - Products,132.5,455.66,,,-3.24,53.56,1.47,0.55,-9.47,-9.99,158.25,-16.41,3.97,3.03,9.65,-12.9,629.22,-5.62,5.92,-16.43,,,,4.78,3.31,-3.14,-4.85,-2.25,-16.1,-11.4,-1.65,17.06,537.5,11.88,50.15,-12.9,31.02,8.8,49.78,-38.04,-45.29,98.45,3.97,6.9
Varun Beverages,540180,VBL,Food - Processing - Indian,754.5,49008.52,59.84,45.39,12.61,64.89,0.82,9.15,254.21,96.67,2827.47,26.18,15.16,17.36,19.17,819.01,9409.82,20.01,17.97,96.96,32.2,72.11,67.97,,15.34,15.75,18.58,43.22,39.29,36.55,8.42,34.15,6450.14,19.72,1214.96,694.05,,414.32,415.97,476.38,-33.41,1466.87,15.16,14.62
Venky's (India),523261,VENKEYS,Miscellaneous,2012.65,2835.29,17.21,23.2,,56.11,0.16,52.95,57.37,-26.35,1229.35,30.59,16.38,17.83,5.55,164.78,4400.29,13.08,12.19,-38.36,-1.89,5.74,39.55,16.7,17.58,13.45,14,-23.17,1.72,7.64,8.82,41.19,3116.63,14.26,388.93,164.78,16.08,155.9,-24.83,206.72,48.16,156.9,16.38,22.11
Venus Remedies,526953,VENUSREM,Pharmaceuticals - Indian - Formulations,218.7,292.34,7.18,24.96,50.05,40.81,0.1,23.53,0.23,-98.42,141.94,27.45,5.79,8.01,10.38,40.72,598.65,22.98,8.4,6.24,59.75,34.39,34.63,-1.44,1.41,6.92,9.85,-29.98,99,18,7.17,10.01,544.17,3.99,53.78,40.72,4.09,5.12,27.71,190.18,26.94,287.71,5.79,3.54
Vinati Organics,524200,VINATIORGA,Chemicals,2018.25,20743.99,59.84,23.06,,74.06,0.01,103.56,101.1,42.68,486.09,73.75,28.36,26.51,26.87,346.68,1615.51,12.72,20.31,28.71,7.03,19.84,16.93,20.25,23.23,22.28,20.56,16.72,25.62,33.53,18.14,69.29,954.26,11.13,353.26,346.68,13.7,275.3,-39.56,137.09,17.6,376.25,28.36,30.99
Visaka Industrie,509055,VISAKAIND,Cement Products,506.8,875.8,7.4,20.19,67.13,48.36,0.23,34.57,30.12,-2.46,420.63,18.77,17.54,21.01,14.13,118.3,1415.78,7.6,8.07,7.01,20.52,22.55,27.51,13.15,15.63,15.95,17.47,-25.53,8.19,1.1,11.5,23.52,1146.21,4.78,193.47,118.53,6.55,82.35,-89.62,239.97,94.52,186.87,17.54,17.56
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,9.1,29228.15,,28.31,-15.39,74.99,,23.16,-6563.1,-8.28,10239.5,6.58,-11.43,-10.38,41.64,-28409.6,38515.5,1.26,1.6,-16.89,-37.59,,,,,,,-7.61,-10.87,-28.22,-14.29,-8.19,41952.2,2.88,16946.3,-28245.4,7.05,-23295.27,11436.7,10533.5,-16.6,21496.6,-11.43,-8.3
Voltas,500575,VOLTAS,Air-conditioners,992.55,32841.96,65.05,40.09,,30.3,0.07,97.05,182.7,-23.15,2666.58,0.56,15.25,13.02,7.21,504.91,7934.45,3.66,5.63,-3.77,-0.73,-0.49,5.64,8.8,12.3,11.22,9.62,-5.12,17.71,15.33,5.51,5.01,7555.78,6.27,580.39,504.09,4.34,533.49,537.33,537.46,178.69,1454.02,15.25,16.64
Welspun India,514162,WELSPUNIND,Textiles - Products,75.55,7590.7,12.63,23.77,,70.36,0.83,39.17,52.19,-60.61,2227.09,4.28,14.1,14.49,14.59,601.17,9311.47,12.58,7,11.75,18.37,-1.75,1.48,37.5,15.48,16.08,15.79,-20.97,10.5,-1.82,6.74,26.86,7340.18,8.49,1352.02,601.17,11.28,470.06,80.65,532.81,94.31,900.22,14.1,13.21
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,7397.1,1479.42,54.65,51.57,135.35,75,0.01,70.16,7.47,40.94,47.75,4.67,15.34,24.03,23.3,27.07,178.81,2.81,4.12,134.98,20.5,17.93,10.4,3.46,11.36,11.13,17.73,97.92,40.45,26.28,13.92,30.88,136.62,5.36,22.97,27.07,4.85,15.22,31.97,-1.9,0.64,33.76,15.34,15.95
Whirlpool India,500238,WHIRLPOOL,Domestic Appliances,1559.5,19785.38,69,50.18,44.64,75,0.01,25.32,83.82,-35.55,1706.91,-4.07,18.49,10.94,6.71,286.76,6196.57,4.71,,-18.82,-11.19,,,,,13.82,9.23,-28.42,0.73,6.6,5.35,5.03,5899.89,,520.9,566.37,,377.95,-70.19,425.19,786.3,430.33,18.49,
Wockhardt,532300,WOCKPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,242.6,3494.9,,23.78,47.64,67.13,0.57,103.74,-258,-14.65,655,3.64,4.95,1.17,9.23,-98.75,3230,-3.24,-4.26,-111.93,14.28,9.47,,,0.82,7.28,-2.73,-60.09,-12.1,-16.04,-1.41,19.26,2708.3,-4.57,-63.03,-244,-2.93,25.39,202,-452.25,12.91,235.26,4.95,2.29
Yes Bank,532648,YESBANK,Banks - Private Sector,12.95,32446.2,30.43,18.12,0.43,0,6.83,0,367.46,109.7,4947.53,24.02,2.5,5.37,56.24,1066.21,19023.51,-13.73,2.98,130.83,-14.74,-20.37,-8.63,0.87,-9.52,-22.14,3.21,-10.07,-54.19,-46.55,0.39,-5.08,20041.84,7.36,4890.67,1066.21,11.67,-2573.05,23227.76,49899.56,20925.73,14959.39,2.5,4.38
Zee Entertainmen,505537,ZEEL,Entertainment / Electronic Media Software,236.15,22682.67,21.69,50.36,10.04,3.98,0.01,77.44,181.93,-18.93,2322.9,18.16,14.18,14.8,20.98,1045.78,8189.31,1.06,4.94,19.5,-12.88,-4.17,1.26,5.78,11.8,8.49,9.98,7.1,-11.69,-14.38,8.03,5.94,7729.9,7.66,1606.5,964.56,10.42,1105.99,42.85,1373.7,495.6,1521.35,14.18,18.81
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries,7685.65,14571.99,102.57,22.01,,75,0,95.63,56.6,18.83,781.98,9.78,8.97,9.61,9.93,142.07,2543.35,-3.77,4.23,57.49,-18.42,-6.64,2.64,-0.7,9.97,6.32,6.91,11.75,7.78,6.26,5.54,36.48,1863.5,9.5,205.99,142.07,9.3,177.18,-38.05,68.35,96.05,162.21,8.97,14.22
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,358.9,36742.12,8.36,23.78,,74.88,0.25,79.87,397.4,-45.73,3863.8,5.27,17.9,26.28,21.88,4397.54,15265.2,5.06,10.24,91.55,34.82,24.19,21.02,21.07,21.47,22.02,29.32,-46.03,13.39,-8.15,17.56,1.08,15102.2,8.45,3344.5,4487.3,11.24,2339.75,1049.6,2446.1,-90.5,5538.4,17.9,17.43
Zydus Wellness,531335,ZYDUSWELL,Food - Processing - Indian,1599.05,10175.1,32.94,45.39,,64.82,0.08,25.86,133.3,0.13,639.78,5.62,6.3,6.41,17.16,308.87,2009.1,33.58,36.08,24.2,23.82,23.34,16.17,16.4,6.97,6.08,6.56,-21.88,5.49,13.81,5.44,7.63,1866.67,24.61,344.36,308.87,19.56,206.44,162.12,269.05,59.89,665.92,6.3,6.95
