Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,6688.35,15403.27,26.41,32.24,450.23,60.4,0.01,17.64,238.4,4.15,707,-2.5,31.51,34.77,26.12,583.15,2938.5,2.19,4.55,9.65,15.04,13.83,16.72,11.76,20.72,22.72,26.75,-13.32,7.2,10.61,19.44,3.38,2901.9,5.91,715.9,944.4,8.55,450,573.6,809.5,77.5,1720.1,31.51,30.08
Sasken Technol.,532663,SASKEN,Computers - Software - Medium / Small,781.05,1175.55,9.17,26.37,,43.05,0,68.72,26.88,-7.6,109.18,-1.29,24.23,25.92,29.75,128.25,433.91,-4.89,-1.47,13.51,12.57,16.86,27.41,8.3,16.51,18.58,21.06,-18.98,2.94,13.8,17.81,-2.46,444.84,0.2,130.7,128.25,-1.79,97.97,100.8,117.61,4.62,315.19,24.23,21.03
SBI Cards,543066,SBICARD,Finance & Investments,770,72629.75,44.94,25.9,17.14,69.59,2.96,5.76,580.86,231.13,2850.31,22.91,12.07,11.61,25.51,1616.14,10677.27,15.02,26.12,64.14,23.17,34.09,29.36,,23.95,22.22,23,-29.66,,,5.24,14.8,9300.57,28.74,2077.56,1616.14,,1062.38,-4491.35,635.46,127.29,-7996.65,12.07,12.78
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1154.9,115540.52,76.72,75.77,15.05,55.48,0,0,672.15,26.25,20671.48,1.88,17.19,15.32,0.79,1505.99,82983.29,22.99,22.12,15.99,6.37,9.55,9.17,10.61,15.82,14.68,13.68,16.88,18.17,,0.6,1.31,81912.78,19.9,872.49,1505.99,19.68,1324.07,21796.21,23763.04,4676.99,64768.95,17.19,18.95
Schaeffler India,505790,SCHAEFFLER,Bearings,2224.25,34765.84,49.9,38.82,,74.13,0.02,55.55,207.12,48.43,1567.51,19.04,19.03,24.51,18.36,696.7,5811.2,6.82,25.38,97.84,12.07,26.21,22.31,13.6,15.53,13.87,18.52,111.79,30.52,19.53,13.89,40.02,3761.84,19.28,536.82,629.12,15.94,425.12,282.08,411.52,94.89,883.51,19.03,22.12
Sequent Scien.,512529,SEQUENT,Pharmaceuticals - Indian - Bulk Drugs,106.6,2658.96,64.46,20.38,1.66,53.02,0.53,85.06,8.96,-56.25,383.71,6.05,12.16,6.88,7.74,41.25,1412.82,10.78,15.63,-59.34,-5.11,39.43,87.71,22.23,18.96,10.04,5.81,-60.79,15.63,-0.28,3.19,3.76,1361.62,18.01,215.15,41.25,15.11,136.63,-0.67,70.18,-14.35,144.84,12.16,18.06
Shakti Pumps,531431,SHAKTIPUMP,Pumps,498.45,916.16,14.13,21.63,,54.82,0.27,118.55,21.96,-28,384.58,20.29,16.26,20.9,9.37,64.82,1178.54,29.42,22.46,-14.25,12.86,24.52,13.77,16.67,14.15,13.33,17.67,-39.46,4.62,2.13,8.45,26.77,929.66,21.78,142.05,64.82,21.59,41.25,0.19,108.02,14.97,139.94,16.26,17.35
Sheela Foam,540203,SFL,Textiles - Jute - Yarn / Products,2801.05,13664.31,62.88,10.79,,72.95,0.33,34.89,49.23,-15.33,763.62,4.22,22.12,18.47,10.56,217.31,2981.81,13.01,12.16,-3.42,18.47,11.69,25.94,39.62,20.55,19.95,16.87,25.75,29.51,15.9,9.83,23.29,2418.45,11.88,362.31,217.31,11.69,179.16,54.25,197.01,13.26,6.68,22.12,24.21
Shilpa Medicare,530549,SHILPAMED,Pharmaceuticals - Indian - Bulk Drugs,433.3,3761.13,67.93,20.38,18.13,50.01,0.37,123.1,29.55,289.36,340.6,63.73,8.08,5.58,17.48,55.37,1145.52,16.03,8.01,-45.19,-15.89,-11.3,-3.79,3.13,7.67,7.2,3.35,-24.69,8.36,-8.05,2.01,27.12,901.13,9.32,180.5,60.66,13.67,99.6,-226.09,-302.36,79.03,-748.61,8.08,8.48
Shree Cement,500387,SHREECEM,Cement - North India,19178.85,69198.73,29.67,17.99,,62.55,0.12,19.17,657.24,-17.68,4364.24,3.05,17.2,16.75,24.7,2331.94,15009.56,6.13,11.8,2.55,26.55,11.9,16.3,,14.49,14.59,14.19,-31.64,-2.27,1.11,10.32,11.38,13476.33,14.79,4063.38,2331.94,,1730.67,458.46,3124.67,370.3,6015.97,17.2,16.57
